THERAPEUTIC TABLE,,
Number of patients analyzed for ADA titers,Number of patients evaluated for ADA titers for the given cohort at the given timepoint,
Average ADA titers,Reported average ADA titers amongst those evaluated,
nADAs detected,Indicates whether any neutralizing ADAs were reported. Sometimes the presence or absence of nADAs are the only measures reported.,
Number of patients analyzed for nADAs titers,Number of patients evaluated for neturalizing ADA titers for the given cohort at the given timepoint,
Average nADA's titers,Reported average neturalizing ADA titers amongst those evaluated,
Number of patients analyzed for nADA,Number of patients evaluated for neturalizing ADA for the given cohort at the given timepoint,
Number of patients with nADAs,Number of patients testing postive for neutralizing ADA above the threshold specificied by the parameters of the assay,
Frequency nADA+ patients reported,Number of patients testing postive for nADA divided by the total number of patients analyzed for nADA,
Frequency of patients with hypersensitivity or injection site reactions,Reported frequency of patients reported to have severe hypersensitivity or injection site reactions. These may or may not be correlated with ADA positivity.,
ADA interpreted to impact PK,Reported conclusions whether ADA was correlated or implicated in the impact of Pharmacokinetics of the therapeutic.,
ADA interpreted to impact Efficacy,Reported conclusions whether ADA was correlated or implicated in the impact of efficacy of the therapeutic.,
Prospective or Retrospective,Indicating whether the trial was conducted as a prospective or retrospective study,
Randomized or Not Randomized,Indicating whether the trial was randomized or not randomized in relation to the therapeutic being assessed for ADAs,
Trial Blinding Type,Whether the trial was blinded,
Therapeutic Comparator,Indicating what type of comparator the therapeutic was assessed against (if any),
Trial Primary Endpoint,Free-form text indicating what the primary endpoints of the trial were,
